ranking,name,undergradpop
1,massachusetts-institute-of-technology,4510
2,stanford-university,7064
3,harvard-university,7147
4,yale-university,5743
5,princeton-university,5260
6,university-of-pennsylvania,10496
7,columbia-university,7592
8,duke-university,6669
9,brown-university,6666
10,california-institute-of-technology,961
11,washington-university-in-st-louis,7074
12,rice-university,3916
13,university-of-notre-dame, 8557
14,northwestern-university,8205
15,university-of-chicago,5978
16,pomona-college,1578
17,bowdoin-college,1813
18,vanderbilt-university,6805
19,dartmouth-college,4360
20,university-of-southern-california,18631
21,cornell-university,14898
22,georgetown-university,6987
23,university-of-michigan---ann-arbor,28702
24,amherst-college,1836
25,tufts-university,5483
26,johns-hopkins-university,5668
27,emory-university,6794
28,university-of-virginia,15766
29,university-of-california---los-angeles,30458
30,swarthmore-college,1573
31,united-states-military-academy-at-west-point,4491
32,middlebury-college,2528
33,carnegie-mellon-university,6298
34,barnard-college,2514
35,carleton-college,2055
36,washington--and--lee-university,1823
37,university-of-california---berkeley,29351
38,georgia-institute-of-technology,13974
39,wellesley-college,2374
40,haverford-college,1294
41,claremont-mckenna-college,1337
42,williams-college,2047
43,bates-college,1787
44,university-of-north-carolina-at-chapel-hill,18303
45,wake-forest-university,5046
46,northeastern-university,13786
47,virginia-tech,26603
48,university-of-texas---austin,37740
49,lehigh-university,5013
50,colby-college,1917
51,boston-college,9681
52,college-of-william--and--mary,6199
53,hamilton-college,1886
54,davidson-college,1810
55,colgate-university,2854
56,smith-college,2505
57,new-york-university,25347
58,university-of-richmond,3035
59,wesleyan-university,2896
60,university-of-wisconsin,28977
61,harvey-mudd-college,844
62,university-of-florida,31384
63,university-of-rochester,6250
64,university-of-illinois-at-urbana-champaign,32613
65,bucknell-university,3585
66,boston-university,16840
67,university-of-georgia,27142
68,grinnell-college,1662
69,brigham-young-university,28156
70,tulane-university,6716
71,colorado-school-of-mines,4584
72,vassar-college,2334
73,kenyon-college,1661
74,university-of-washington,28759
75,lafayette-college,2551
76,case-western-reserve-university,4978
77,the-cooper-union-for-the-advancement-of-science-and-art,859
78,southern-methodist-university,6240
79,rensselaer-polytechnic-institute,6200
80,purdue-university,30277
81,university-of-miami,10216
82,worcester-polytechnic-institute,4301
83,bryn-mawr-college,1325
84,colorado-college,2091
85,macalester-college,2093
86,university-of-california---santa-barbara,21777
87,college-of-the-holy-cross,2827
88,university-of-minnesota---twin-cities,29991
89,penn-state,39785
90,texas-a-and-m-university,46724
91,the-ohio-state-university,42003
92,stevens-institute-of-technology,3113
93,pitzer-college,1046
94,mount-holyoke-college,2161
95,north-carolina-state-university,21384
96,santa-clara-university,5411
97,reed-college,1408
98,villanova-university,6525
99,rose-hulman-institute-of-technology,2147
100,whitman-college,1455
101,scripps-college,1060
102,clemson-university,18642
103,michigan-state-university,35404
104,university-of-tulsa,3203
105,university-of-maryland---college-park,27708
106,babson-college,2342
107,wheaton-college---illinois,2310
108,trinity-university---texas,2353
109,university-of-pittsburgh,18390
110,university-of-california---davis,29284
111,yeshiva-university,2646
112,gettysburg-college,2404
113,brandeis-university,3620
114,george-washington-university,10893
115,skidmore-college,2636
116,st-olaf-college,3003
117,michigan-technological-university,5492
118,university-of-california---irvine,28855
119,indiana-university---bloomington,32212
120,occidental-college,1952
121,florida-state-university,29286
122,university-of-california---san-diego,27880
123,university-of-iowa,21222
124,loyola-marymount-university,6164
125,california-polytechnic-state-university---san-luis-obispo,20584
126,union-college---new-york,2176
127,university-of-delaware,18195
128,iowa-state-university,28743
129,lawrence-university,1434
130,american-university,7764
131,texas-christian-university,8738
132,syracuse-university,14675
133,rutgers-university---new-brunswick,33677
134,franklin--and--marshall-college,2263
135,university-of-massachusetts---amherst,21577
136,wabash-college,864
137,denison-university,2319
138,gustavus-adolphus-college,2150
139,bentley-university,4171
140,auburn-university,21762
141,oberlin-college,2790
142,james-madison-university,18905
143,pepperdine-university,3300
144,sewanee---the-university-of-the-south,1687
145,saint-louis-university,6625
146,university-of-portland,3792
147,university-of-oklahoma,19065
148,university-of-denver,5494
149,university-of-san-diego,5605
